2017,mitsubishi,mirage,6.6,8.4,2.5,33,40,37,43
2016,mitsubishi,outlander,7.4,9.3,2.5,20,27,25,31
2016,nissan,370z,7.7,-1,3.5,17,24,19,26
2016,nissan,altima,8.3,9.7,3.0,22,32,27,39
2017,nissan,armada,7.4,-1,3.0,13,18,14,19
2017,nissan,gt-r,7.5,-1,3.5,16,22,,
2016,nissan,leaf,7.7,8.2,3.0,-1,-1,,
2016,nissan,maxima,8.8,10.0,4.0,22,30,,
2016,nissan,pathfinder,7.4,9.3,2.0,19,26,20,27
2017,nissan,pathfinder,7.5,9.3,2.5,19,26,20,27
2017,nissan,rogue,8.1,9.3,3.5,25,32,26,33
2016,nissan,sentra,8.0,9.3,3.5,27,36,30,40
2017,nissan,sentra,7.9,9.3,3.5,25,30,29,37
2017,nissan,titan,8.0,8.7,3.0,15,20,15,21
2016,porsche,911,9.3,-1,5.0,14,20,21,28
2017,porsche,911,7.4,-1,4.0,19,24,22,30
2018,porsche,911,9.4,-1,5.0,13,20,22,30
2016,porsche,boxster,8.5,-1,4.5,18,24,22,32
2016,porsche,cayenne,7.7,-1,3.5,14,21,20,29
2017,porsche,cayenne,7.7,-1,4.0,14,21,18,24
2016,porsche,cayman,8.5,-1,4.5,18,23,22,32
2017,porsche,macan,8.0,-1,4.0,17,23,20,25
2017,porsche,panamera,8.4,-1,3.5,18,25,21,28
2018,porsche,panamera,8.7,-1,3.0,18,25,21,28
2016,scion,ia,8.9,10.0,4.5,31,41,33,42
2016,scion,im,8.3,-1,4.5,27,36,28,37
2017,subaru,brz,7.8,9.2,2.5,21,29,24,33
2016,subaru,forester,8.1,9.3,3.0,22,28,24,32
2017,subaru,impreza,8.0,10.0,2.5,22,30,28,38
2017,subaru,legacy,7.8,10.0,2.5,20,28,25,34
2016,subaru,outback,8.6,9.7,3.5,20,27,25,33
2017,subaru,outback,8.3,9.8,3.5,20,27,25,32
2017,toyota,86,7.9,9.2,3.5,21,28,24,32
2016,toyota,avalon,8.7,9.3,4.0,21,30,,
2019,toyota,avalon,8.9,-1,,22,31,22,32
2016,toyota,camry,9.0,9.3,5.0,21,31,25,35
2017,toyota,camry,8.9,9.1,5.0,21,30,24,33
2018,toyota,camry,9.3,10.0,4.5,22,32,29,41
2016,toyota,corolla,8.0,9.2,3.5,27,36,30,42
2017,toyota,highlander,8.3,9.3,3.5,19,24,21,27
2016,toyota,prius,9.0,9.3,5.0,54,50,58,53
2017,toyota,prius,8.6,9.3,4.0,54,50,58,53
2016,toyota,rav4,7.9,9.3,3.5,22,29,23,30
2016,toyota,sequoia,8.0,-1,4.0,13,17,,
2017,toyota,sequoia,7.9,-1,4.0,13,17,,
2017,toyota,sienna,8.0,9.0,3.0,18,24,19,27
2016,toyota,tacoma,8.7,9.3,,17,20,19,24
2017,toyota,tacoma,8.3,9.3,3.5,17,20,19,24
2017,toyota,tundra,7.6,8.7,4.0,13,17,15,19
2016,toyota,yaris,7.9,8.8,4.0,30,36,30,37
2018,volkswagen,atlas,8.4,9.8,3.0,17,23,22,26
2016,volkswagen,beetle,7.7,8.8,3.0,23,31,25,34
2017,volkswagen,beetle,7.6,8.7,3.0,23,29,24,33
2016,volkswagen,cc,7.8,8.7,3.0,17,25,22,32
2016,volkswagen,golf,9.0,9.3,,22,30,25,37
2017,volkswagen,golf,8.3,9.3,3.0,22,30,25,36
2016,volkswagen,gti,8.4,9.3,3.0,25,33,25,34
2017,volkswagen,gti,8.4,9.3,3.0,24,32,24,34
2016,volkswagen,jetta,8.0,9.3,3.0,23,33,42,48
2016,volkswagen,passat,7.9,9.3,2.5,20,28,25,38
2017,volkswagen,passat,7.8,9.3,2.5,20,28,23,34
2016,volkswagen,tiguan,8.2,8.4,4.0,20,26,21,26
2017,volkswagen,tiguan,8.3,8.2,4.5,20,24,,
2016,volkswagen,touareg,8.0,10.0,3.0,17,23,21,29
